#format table ## [Custom WaveView] saved 22:40:21 Mon Mar 11 2024
TIME ,v(a) ,v(b) 
 0.000E+00 , 1.800E+00 , 3.533E-09 
 1.000E-12 , 1.782E+00 ,-1.660E-04 
 2.000E-12 , 1.764E+00 ,-3.298E-04 
 5.200E-12 , 1.706E+00 ,-8.472E-04 
 1.544E-11 , 1.522E+00 ,-2.408E-03 
 4.821E-11 , 9.323E-01 ,-4.162E-03 
 9.121E-11 , 1.583E-01 , 3.775E-02 
 1.000E-10 , 0.000E+00 , 5.643E-02 
 1.035E-10 , 0.000E+00 , 6.529E-02 
 1.047E-10 , 0.000E+00 , 6.835E-02 
 1.086E-10 , 0.000E+00 , 7.813E-02 
 1.210E-10 , 0.000E+00 , 1.094E-01 
 1.608E-10 , 0.000E+00 , 2.094E-01 
 2.879E-10 , 0.000E+00 , 5.251E-01 
 4.620E-10 , 0.000E+00 , 9.329E-01 
 5.629E-10 , 0.000E+00 , 1.148E+00 
 6.512E-10 , 0.000E+00 , 1.311E+00 
 7.406E-10 , 0.000E+00 , 1.443E+00 
 8.532E-10 , 0.000E+00 , 1.565E+00 
 9.467E-10 , 0.000E+00 , 1.634E+00 
 1.035E-09 , 0.000E+00 , 1.681E+00 
 1.110E-09 , 0.000E+00 , 1.709E+00 
 1.170E-09 , 0.000E+00 , 1.727E+00 
 1.237E-09 , 0.000E+00 , 1.744E+00 
 1.315E-09 , 0.000E+00 , 1.759E+00 
 1.384E-09 , 0.000E+00 , 1.770E+00 
 1.458E-09 , 0.000E+00 , 1.778E+00 
 1.532E-09 , 0.000E+00 , 1.784E+00 
 1.611E-09 , 0.000E+00 , 1.789E+00 
 1.708E-09 , 0.000E+00 , 1.793E+00 
 1.818E-09 , 0.000E+00 , 1.796E+00 
 1.913E-09 , 0.000E+00 , 1.797E+00 
 2.003E-09 , 0.000E+00 , 1.798E+00 
 2.081E-09 , 0.000E+00 , 1.799E+00 
 2.100E-09 , 0.000E+00 , 1.799E+00 
 2.102E-09 , 3.471E-02 , 1.799E+00 
 2.104E-09 , 7.163E-02 , 1.800E+00 
 2.111E-09 , 1.898E-01 , 1.802E+00 
 2.132E-09 , 5.679E-01 , 1.807E+00 
 2.200E-09 , 1.800E+00 , 1.684E+00 
 2.203E-09 , 1.800E+00 , 1.672E+00 
 2.206E-09 , 1.800E+00 , 1.659E+00 
 2.216E-09 , 1.800E+00 , 1.617E+00 
 2.249E-09 , 1.800E+00 , 1.483E+00 
 2.315E-09 , 1.800E+00 , 1.209E+00 
 2.389E-09 , 1.800E+00 , 9.105E-01 
 2.470E-09 , 1.800E+00 , 5.973E-01 
 2.538E-09 , 1.800E+00 , 3.698E-01 
 2.604E-09 , 1.800E+00 , 2.110E-01 
 2.660E-09 , 1.800E+00 , 1.230E-01 
 2.740E-09 , 1.800E+00 , 5.504E-02 
 2.805E-09 , 1.800E+00 , 2.993E-02 
 2.871E-09 , 1.800E+00 , 1.718E-02 
 2.941E-09 , 1.800E+00 , 1.109E-02 
 3.015E-09 , 1.800E+00 , 8.195E-03 
 3.092E-09 , 1.800E+00 , 6.690E-03 
 3.192E-09 , 1.800E+00 , 5.795E-03 
 3.299E-09 , 1.800E+00 , 5.181E-03 
 3.395E-09 , 1.800E+00 , 4.346E-03 
 3.485E-09 , 1.800E+00 , 3.414E-03 
 3.561E-09 , 1.800E+00 , 2.686E-03 
 3.622E-09 , 1.800E+00 , 2.209E-03 
 3.685E-09 , 1.800E+00 , 1.818E-03 
 3.765E-09 , 1.800E+00 , 1.418E-03 
 3.833E-09 , 1.800E+00 , 1.133E-03 
 3.906E-09 , 1.800E+00 , 8.762E-04 
 3.987E-09 , 1.800E+00 , 6.465E-04 
 4.000E-09 , 1.800E+00 , 6.132E-04 
 4.001E-09 , 1.776E+00 , 3.878E-04 
 4.003E-09 , 1.740E+00 , 6.290E-05 
 4.009E-09 , 1.630E+00 ,-9.180E-04 
 4.029E-09 , 1.275E+00 ,-3.772E-03 
 4.092E-09 , 1.415E-01 , 5.331E-02 
 4.100E-09 , 0.000E+00 , 7.027E-02 
 4.103E-09 , 0.000E+00 , 7.820E-02 
 4.104E-09 , 0.000E+00 , 8.124E-02 
 4.108E-09 , 0.000E+00 , 9.096E-02 
 4.121E-09 , 0.000E+00 , 1.220E-01 
 4.160E-09 , 0.000E+00 , 2.213E-01 
 4.268E-09 , 0.000E+00 , 4.891E-01 
