#format table ## [Custom WaveView] saved 22:40:21 Mon Mar 11 2024
TIME ,v(a) ,v(b) 
 4.371E-09 , 0.000E+00 , 7.391E-01 
 4.469E-09 , 0.000E+00 , 9.637E-01 
 4.541E-09 , 0.000E+00 , 1.117E+00 
 4.607E-09 , 0.000E+00 , 1.245E+00 
 4.707E-09 , 0.000E+00 , 1.407E+00 
 4.778E-09 , 0.000E+00 , 1.496E+00 
 4.859E-09 , 0.000E+00 , 1.575E+00 
 4.945E-09 , 0.000E+00 , 1.637E+00 
 5.024E-09 , 0.000E+00 , 1.678E+00 
 5.098E-09 , 0.000E+00 , 1.707E+00 
 5.156E-09 , 0.000E+00 , 1.725E+00 
 5.222E-09 , 0.000E+00 , 1.742E+00 
 5.301E-09 , 0.000E+00 , 1.758E+00 
 5.370E-09 , 0.000E+00 , 1.768E+00 
 5.443E-09 , 0.000E+00 , 1.777E+00 
 5.517E-09 , 0.000E+00 , 1.783E+00 
 5.595E-09 , 0.000E+00 , 1.788E+00 
 5.693E-09 , 0.000E+00 , 1.792E+00 
 5.800E-09 , 0.000E+00 , 1.795E+00 
 5.896E-09 , 0.000E+00 , 1.797E+00 
 5.986E-09 , 0.000E+00 , 1.798E+00 
 6.066E-09 , 0.000E+00 , 1.799E+00 
 6.100E-09 , 0.000E+00 , 1.799E+00 
 6.102E-09 , 3.459E-02 , 1.799E+00 
 6.105E-09 , 8.230E-02 , 1.800E+00 
 6.113E-09 , 2.349E-01 , 1.802E+00 
 6.140E-09 , 7.234E-01 , 1.808E+00 
 6.181E-09 , 1.452E+00 , 1.762E+00 
 6.200E-09 , 1.800E+00 , 1.700E+00 
 6.203E-09 , 1.800E+00 , 1.688E+00 
 6.205E-09 , 1.800E+00 , 1.681E+00 
 6.210E-09 , 1.800E+00 , 1.658E+00 
 6.228E-09 , 1.800E+00 , 1.587E+00 
 6.281E-09 , 1.800E+00 , 1.367E+00 
 6.351E-09 , 1.800E+00 , 1.081E+00 
 6.431E-09 , 1.800E+00 , 7.595E-01 
 6.508E-09 , 1.800E+00 , 4.793E-01 
 6.576E-09 , 1.800E+00 , 2.813E-01 
 6.634E-09 , 1.800E+00 , 1.658E-01 
 6.698E-09 , 1.800E+00 , 8.859E-02 
 6.773E-09 , 1.800E+00 , 4.191E-02 
 6.836E-09 , 1.800E+00 , 2.385E-02 
 6.903E-09 , 1.800E+00 , 1.424E-02 
 6.979E-09 , 1.800E+00 , 9.486E-03 
 7.054E-09 , 1.800E+00 , 7.411E-03 
 7.140E-09 , 1.800E+00 , 6.191E-03 
 7.237E-09 , 1.800E+00 , 5.600E-03 
 7.341E-09 , 1.800E+00 , 4.914E-03 
 7.432E-09 , 1.800E+00 , 4.017E-03 
 7.515E-09 , 1.800E+00 , 3.165E-03 
 7.586E-09 , 1.800E+00 , 2.516E-03 
 7.645E-09 , 1.800E+00 , 2.089E-03 
 7.717E-09 , 1.800E+00 , 1.675E-03 
 7.795E-09 , 1.800E+00 , 1.308E-03 
 7.864E-09 , 1.800E+00 , 1.035E-03 
 7.939E-09 , 1.800E+00 , 7.919E-04 
 8.000E-09 , 1.800E+00 , 6.254E-04 
 8.003E-09 , 1.749E+00 , 1.609E-04 
 8.006E-09 , 1.694E+00 ,-3.336E-04 
 8.016E-09 , 1.519E+00 ,-1.831E-03 
 8.047E-09 , 9.572E-01 ,-3.949E-03 
 8.091E-09 , 1.622E-01 , 3.827E-02 
 8.100E-09 , 0.000E+00 , 5.739E-02 
 8.104E-09 , 0.000E+00 , 6.648E-02 
 8.105E-09 , 0.000E+00 , 6.954E-02 
 8.109E-09 , 0.000E+00 , 7.935E-02 
 8.121E-09 , 0.000E+00 , 1.107E-01 
 8.161E-09 , 0.000E+00 , 2.109E-01 
 8.269E-09 , 0.000E+00 , 4.797E-01 
 8.373E-09 , 0.000E+00 , 7.312E-01 
 8.472E-09 , 0.000E+00 , 9.580E-01 
 8.544E-09 , 0.000E+00 , 1.113E+00 
 8.610E-09 , 0.000E+00 , 1.241E+00 
 8.708E-09 , 0.000E+00 , 1.401E+00 
 8.779E-09 , 0.000E+00 , 1.491E+00 
 8.859E-09 , 0.000E+00 , 1.571E+00 
 8.946E-09 , 0.000E+00 , 1.634E+00 
 9.025E-09 , 0.000E+00 , 1.677E+00 
 9.101E-09 , 0.000E+00 , 1.706E+00 
 9.159E-09 , 0.000E+00 , 1.725E+00 
 9.224E-09 , 0.000E+00 , 1.741E+00 
 9.303E-09 , 0.000E+00 , 1.757E+00 
 9.372E-09 , 0.000E+00 , 1.768E+00 
 9.445E-09 , 0.000E+00 , 1.777E+00 
 9.520E-09 , 0.000E+00 , 1.783E+00 
 9.597E-09 , 0.000E+00 , 1.788E+00 
 9.696E-09 , 0.000E+00 , 1.792E+00 
 9.801E-09 , 0.000E+00 , 1.795E+00 
 9.898E-09 , 0.000E+00 , 1.797E+00 
 9.988E-09 , 0.000E+00 , 1.798E+00 
 1.007E-08 , 0.000E+00 , 1.799E+00 
 1.010E-08 , 2.978E-14 , 1.799E+00 
 1.010E-08 , 3.434E-02 , 1.799E+00 
 1.010E-08 , 8.011E-02 , 1.800E+00 
 1.011E-08 , 2.266E-01 , 1.802E+00 
 1.014E-08 , 6.953E-01 , 1.808E+00 
 1.018E-08 , 1.492E+00 , 1.755E+00 
 1.020E-08 , 1.800E+00 , 1.699E+00 
 1.020E-08 , 1.800E+00 , 1.686E+00 
 1.020E-08 , 1.800E+00 , 1.679E+00 
 1.021E-08 , 1.800E+00 , 1.658E+00 
 1.023E-08 , 1.800E+00 , 1.591E+00 
 1.028E-08 , 1.800E+00 , 1.384E+00 
 1.035E-08 , 1.800E+00 , 1.101E+00 
 1.042E-08 , 1.800E+00 , 7.863E-01 
 1.050E-08 , 1.800E+00 , 4.969E-01 
 1.057E-08 , 1.800E+00 , 2.952E-01 
 1.063E-08 , 1.800E+00 , 1.735E-01 
 1.069E-08 , 1.800E+00 , 9.496E-02 
 1.077E-08 , 1.800E+00 , 4.456E-02 
 1.083E-08 , 1.800E+00 , 2.520E-02 
 1.090E-08 , 1.800E+00 , 1.489E-02 
 1.097E-08 , 1.800E+00 , 9.835E-03 
 1.104E-08 , 1.800E+00 , 7.590E-03 
 1.113E-08 , 1.800E+00 , 6.307E-03 
 1.122E-08 , 1.800E+00 , 5.659E-03 
 1.133E-08 , 1.800E+00 , 4.999E-03 
 1.142E-08 , 1.800E+00 , 4.109E-03 
 1.151E-08 , 1.800E+00 , 3.227E-03 
 1.158E-08 , 1.800E+00 , 2.549E-03 
 1.164E-08 , 1.800E+00 , 2.112E-03 
 1.171E-08 , 1.800E+00 , 1.707E-03 
 1.179E-08 , 1.800E+00 , 1.334E-03 
 1.186E-08 , 1.800E+00 , 1.060E-03 
 1.193E-08 , 1.800E+00 , 8.108E-04 
 1.200E-08 , 1.800E+00 , 6.241E-04 
